日期序号,微博条数,积极条数,消极条数,积极转发,积极评论,积极赞,消极转发,消极评论,消极赞,总转发,总评论,总赞,平均积极转发,平均积极评论,平均积极赞,平均消极转发,平均消极评论,平均消极赞
2019/3/7,30,18,12,81399,57171,320605,57757,48857,242195,139156 ,106028 ,562800 ,4522 ,3176 ,17811 ,4813 ,4071 ,20183 
2019/3/8,30,18,12,14623,12209,13132,2078,2326,6411,16701 ,14535 ,19543 ,812 ,678 ,730 ,173 ,194 ,534 
2019/3/9,30,17,13,1176,2143,5112,1780,2147,5589,2956 ,4290 ,10701 ,69 ,126 ,301 ,137 ,165 ,430 
2019/3/10,30,10,20,1362,1391,1432,3371,4553,10361,4733 ,5944 ,11793 ,136 ,139 ,143 ,169 ,228 ,518 
2019/3/11,30,23,7,4893,9919,15266,321,475,875,5214 ,10394 ,16141 ,213 ,431 ,664 ,46 ,68 ,125 
2019/3/12,30,12,18,1148,2315,4420,2784,6984,13948,3932 ,9299 ,18368 ,96 ,193 ,368 ,155 ,388 ,775 
2019/3/13,30,18,12,98278,39628,75232,2442,3917,6611,100720 ,43545 ,81843 ,5460 ,2202 ,4180 ,204 ,326 ,551 
2019/3/14,30,12,18,7587,3607,7572,1225,7305,11123,8812 ,10912 ,18695 ,632 ,301 ,631 ,68 ,406 ,618 
2019/3/15,30,19,11,20883,8900,24421,723,2571,2523,21606 ,11471 ,26944 ,1099 ,468 ,1285 ,66 ,234 ,229 
2019/3/16,29,18,11,2080,2991,9563,7502,2831,34709,9582 ,5822 ,44272 ,116 ,166 ,531 ,682 ,257 ,3155 
2019/3/17,27,20,7,4232,4421,7480,239,1294,1242,4471 ,5715 ,8722 ,212 ,221 ,374 ,34 ,185 ,177 
2019/3/18,30,20,10,1007,1520,3637,11635,4367,4736,12642 ,5887 ,8373 ,50 ,76 ,182 ,1164 ,437 ,474 
2019/3/19,30,26,4,38798,39050,40309,6736,5456,2875,45534 ,44506 ,43184 ,1492 ,1502 ,1550 ,1684 ,1364 ,719 
2019/3/20,30,27,3,15590,11664,26343,823,1021,1719,16413 ,12685 ,28062 ,577 ,432 ,976 ,274 ,340 ,573 
2019/3/21,30,23,7,2415,3169,6287,8986,2763,6532,11401 ,5932 ,12819 ,105 ,138 ,273 ,1284 ,395 ,933 
2019/3/22,30,23,7,9188,7820,9263,569,1305,2968,9757 ,9125 ,12231 ,399 ,340 ,403 ,81 ,186 ,424 
2019/3/23,29,21,8,8432,2731,5568,681,3319,2614,9113 ,6050 ,8182 ,402 ,130 ,265 ,85 ,415 ,327 
2019/3/24,30,19,11,1753,4650,5049,1389,2788,5908,3142 ,7438 ,10957 ,92 ,245 ,266 ,126 ,253 ,537 
