用户ID,微博数,转发数,评论数,点赞数,积极数,消极数,平均转发,平均评论,平均点赞,积极转发数,积极评论数,积极点赞数,消极转发数,消极评论数,消极点赞数
华尔街见闻APP,16,1516,4134,5670,11,3,94.75 ,258.38 ,354.38 ,1211,3864,5293,168,168,216
手机摄影,15,158,208,1414,15,0,10.53 ,13.87 ,94.27 ,158,208,1414,0,0,0
极客村长,15,794,4178,22773,9,5,52.93 ,278.53 ,1518.20 ,439,2333,11797,336,1760,10596
戴旭,15,2523,206,8863,8,6,168.20 ,13.73 ,590.87 ,999,89,4313,1393,103,4249
新闻晨报,15,1280,1434,4065,12,2,85.33 ,95.60 ,271.00 ,1183,1112,3677,61,162,252
李杰灵,15,7765,5983,22037,13,1,517.67 ,398.87 ,1469.13 ,6053,4800,17735,21,223,278
Geek_Cao,15,1207,9533,40759,3,12,80.47 ,635.53 ,2717.27 ,332,3459,13916,875,6074,26843
那岩,15,391,5362,28921,9,4,26.07 ,357.47 ,1928.07 ,192,2801,15755,165,1961,10549
投资舆情,14,2833,2760,6714,9,5,202.36 ,197.14 ,479.57 ,1076,1490,3387,1757,1270,3327
香港商報網,14,1274,1299,6292,9,5,91.00 ,92.79 ,449.43 ,895,922,4079,379,377,2213
全景网,14,2201,2704,18465,10,3,157.21 ,193.14 ,1318.93 ,1160,2191,16286,669,307,1076
华为开发者联盟,14,21818,5557,4771,14,0,1558.43 ,396.93 ,340.79 ,21818,5557,4771,0,0,0
IT之家,13,519,3390,3215,9,4,39.92 ,260.77 ,247.31 ,358,1927,2389,161,1463,826
科技小公举,13,994,3348,28692,4,7,76.46 ,257.54 ,2207.08 ,167,764,4259,590,1557,13626
界面新闻,13,644,798,5743,3,8,49.54 ,61.38 ,441.77 ,120,357,4850,491,393,814
Kevin在纽约,13,3137,6379,19359,8,5,241.31 ,490.69 ,1489.15 ,2010,3695,11505,1127,2684,7854
huayuan画鸢,13,147,1235,1051,13,0,11.31 ,95.00 ,80.85 ,147,1235,1051,0,0,0
中国经营报,13,6458,16562,71330,8,4,496.77 ,1274.00 ,5486.92 ,3324,3888,63021,3092,12645,8208
思想聚焦,13,2009,2163,12056,10,1,154.54 ,166.38 ,927.38 ,1260,1366,9205,153,279,620
搞机圈的那些事,13,486,2240,50452,4,8,37.38 ,172.31 ,3880.92 ,138,566,6675,278,1549,43259
短的发布会,12,635,3174,13210,7,4,52.92 ,264.50 ,1100.83 ,275,1470,6584,168,1379,6223
科技星辰君,12,651,7118,31339,2,10,54.25 ,593.17 ,2611.58 ,23,509,2032,628,6609,29307
草原900,12,1780,1963,7055,11,1,148.33 ,163.58 ,587.92 ,1669,1289,5360,111,674,1695
台湾傻事,12,939,2554,15607,10,0,78.25 ,212.83 ,1300.58 ,925,2334,14858,0,0,0
王员外,12,1399,5197,22315,1,9,116.58 ,433.08 ,1859.58 ,183,322,1550,1117,4569,19525
数码闲聊站,12,270,4020,21723,6,5,22.50 ,335.00 ,1810.25 ,138,2386,10788,119,1430,9993
财新网,11,876,1627,1707,8,3,79.64 ,147.91 ,155.18 ,584,906,1436,292,721,271
搞机少女,11,1049,3563,26725,6,4,95.36 ,323.91 ,2429.55 ,776,1731,12978,224,1696,13260
环球市场播报,11,1394,1352,6617,8,3,126.73 ,122.91 ,601.55 ,1036,1206,6338,358,146,279
财联社APP,11,1830,974,5119,7,4,166.36 ,88.55 ,465.36 ,940,629,4194,890,345,925
测评君,11,478,1315,15425,9,2,43.45 ,119.55 ,1402.27 ,430,1115,10864,48,200,4561
爱范儿,10,27193,13755,33224,10,0,2719.30 ,1375.50 ,3322.40 ,27193,13755,33224,0,0,0
军武季,10,6480,1503,38885,9,0,648.00 ,150.30 ,3888.50 ,6396,1454,38667,0,0,0
维稳先锋卡菊轮,10,1757,656,8288,4,6,175.70 ,65.60 ,828.80 ,679,188,2477,1078,468,5811
电脑报,10,1462,6093,62631,5,5,146.20 ,609.30 ,6263.10 ,676,3932,54322,786,2161,8309
华为终端客服,10,12921,9799,12958,10,0,1292.10 ,979.90 ,1295.80 ,12921,9799,12958,0,0,0
福布斯中文网,10,771,1299,4733,7,2,77.10 ,129.90 ,473.30 ,580,757,3506,137,504,1108
少年不打太极,10,2063,24739,32935,6,3,206.30 ,2473.90 ,3293.50 ,1768,22943,27958,214,959,3896
占豪,10,1118,1011,10377,7,2,111.80 ,101.10 ,1037.70 ,793,679,8181,230,208,1603
宅数码Kael,10,949,1733,11987,7,3,94.90 ,173.30 ,1198.70 ,249,899,8578,700,834,3409
司马南,9,415,581,1198,6,3,46.11 ,64.56 ,133.11 ,81,282,557,334,299,641
蓝鲸财经记者工作平台,9,1797,3284,7236,3,6,199.67 ,364.89 ,804.00 ,282,197,314,1515,3087,6922
雪球,9,1461,789,3458,5,4,162.33 ,87.67 ,384.22 ,1139,551,1935,322,238,1523
数字尾巴,9,3941,1139,3151,6,2,437.89 ,126.56 ,350.11 ,3887,825,2855,32,209,144
华为云,9,4811,5363,3332,9,0,534.56 ,595.89 ,370.22 ,4811,5363,3332,0,0,0
张雪峰老师,9,847,2905,28809,5,3,94.11 ,322.78 ,3201.00 ,347,1459,13483,449,713,11451
Reviewer_小康,9,399,2552,12000,5,3,44.33 ,283.56 ,1333.33 ,235,1220,10723,138,1127,997
硬件学堂,9,884,1129,8849,5,4,98.22 ,125.44 ,983.22 ,794,915,4050,90,214,4799
成都商报,9,877,5569,125107,7,2,97.44 ,618.78 ,13900.78 ,490,3499,124012,387,2070,1095
习五一,9,1596,1306,6728,7,2,177.33 ,145.11 ,747.56 ,1335,1051,5465,261,255,1263
MebiuW,9,720,2639,18392,4,5,80.00 ,293.22 ,2043.56 ,401,1716,9367,319,923,9025
科技涅槃说,9,442,1196,12338,1,7,49.11 ,132.89 ,1370.89 ,10,121,257,348,892,10759
锋潮科技,9,6059,6154,15398,6,3,673.22 ,683.78 ,1710.89 ,5962,5879,10802,97,275,4596
中科大胡不归,8,1250,783,3725,4,3,156.25 ,97.88 ,465.63 ,428,289,1197,699,350,2375
楼斌XYZONE,8,588,3777,12726,2,5,73.50 ,472.13 ,1590.75 ,94,1018,2775,485,2284,8817
CGTN,8,340,479,4889,4,2,42.50 ,59.88 ,611.13 ,211,369,3846,54,26,170
大公報-大公網,8,189,272,1154,5,3,23.63 ,34.00 ,144.25 ,94,137,704,95,135,450
苏宁易购,8,10445,7285,197898,8,0,1305.63 ,910.63 ,24737.25 ,10445,7285,197898,0,0,0
科技小布,8,160,2584,2512,6,2,20.00 ,323.00 ,314.00 ,95,1868,1390,65,716,1122
浙商卢献星,8,622,868,9806,5,3,77.75 ,108.50 ,1225.75 ,509,640,6065,113,228,3741
请不要叫我测评君,8,2635,1379,2121,2,5,329.38 ,172.38 ,265.13 ,32,249,695,2044,927,1212
中国移动,8,13009,16676,6562,8,0,1626.13 ,2084.50 ,820.25 ,13009,16676,6562,0,0,0
虎扑的步行街,8,852,2686,45666,4,4,106.50 ,335.75 ,5708.25 ,245,1089,25597,607,1597,20069
新潮电子徐林,8,1180,1023,2371,6,1,147.50 ,127.88 ,296.38 ,524,708,1937,629,271,278
电商行业,8,1584,2394,14579,3,2,198.00 ,299.25 ,1822.38 ,466,994,6464,703,583,5479
义勇军--鬼谷子,8,978,1577,16480,6,0,122.25 ,197.13 ,2060.00 ,818,989,10882,0,0,0
侠客岛,8,2189,3497,9916,7,1,273.63 ,437.13 ,1239.50 ,2091,3368,9468,98,129,448
工业科技迷,8,920,1725,195290,7,1,115.00 ,215.63 ,24411.25 ,846,1508,162064,74,217,33226
IT观察猿,8,1646,3258,116385,5,3,205.75 ,407.25 ,14548.13 ,1008,2032,76019,638,1226,40366
科技疯汇,8,566,2527,18082,2,3,70.75 ,315.88 ,2260.25 ,34,231,5969,432,1833,10490
吐槽科技君,8,413,5191,62541,3,3,51.63 ,648.88 ,7817.63 ,140,858,7461,121,2226,16166
作家李召军,8,8564,4904,27161,3,4,1070.50 ,613.00 ,3395.13 ,5729,3182,17324,2574,1304,8282
午后狂睡,8,2707,1788,8647,7,1,338.38 ,223.50 ,1080.88 ,526,968,6851,2181,820,1796
中国商界网,7,1400,2381,24035,6,0,200.00 ,340.14 ,3433.57 ,1180,1771,4278,0,0,0
莲石路车神,7,105,663,1779,4,1,15.00 ,94.71 ,254.14 ,74,353,1064,24,192,549
徐钦松Jim,7,260,435,2367,7,0,37.14 ,62.14 ,338.14 ,260,435,2367,0,0,0
微天下,7,821,484,1476,4,2,117.29 ,69.14 ,210.86 ,312,277,842,324,86,423
RunForYou易烊千玺动图库,7,6908,1238,18154,7,0,986.86 ,176.86 ,2593.43 ,6908,1238,18154,0,0,0
央视网,7,609,1025,3101,5,1,87.00 ,146.43 ,443.00 ,567,843,2961,14,12,57
凤凰卫视,7,291,960,557,5,1,41.57 ,137.14 ,79.57 ,84,149,317,10,55,62
芒果TV,7,16080,9657,165431,7,0,2297.14 ,1379.57 ,23633.00 ,16080,9657,165431,0,0,0
微博数码,7,435,1233,2664,5,1,62.14 ,176.14 ,380.57 ,230,774,1733,30,321,312
啵唧一口甜丞,7,474,5068,1360,2,5,67.71 ,724.00 ,194.29 ,154,1424,393,320,3644,967
钢的王十二,7,154,889,4680,7,0,22.00 ,127.00 ,668.57 ,154,889,4680,0,0,0
平民王小石,7,4032,1030,6422,5,2,576.00 ,147.14 ,917.43 ,2631,643,5640,1401,387,782
全球时尚,7,32647,11673,52115,7,0,4663.86 ,1667.57 ,7445.00 ,32647,11673,52115,0,0,0
嘉人,7,60183,9912,31445,7,0,8597.57 ,1416.00 ,4492.14 ,60183,9912,31445,0,0,0
思多金,7,2781,569,4361,6,1,397.29 ,81.29 ,623.00 ,2532,240,2390,249,329,1971
城城AI,7,149,2064,3334,5,2,21.29 ,294.86 ,476.29 ,128,1894,2697,21,170,637
释不归,7,605,1092,1595,5,2,86.43 ,156.00 ,227.86 ,439,866,962,166,226,633
历史的进城,7,1396,970,10072,3,4,199.43 ,138.57 ,1438.86 ,928,690,8523,468,280,1549
科技Milk,7,306,1095,7225,3,3,43.71 ,156.43 ,1032.14 ,211,578,3106,66,441,2620
搞机Time,7,878,2401,20842,1,6,125.43 ,343.00 ,2977.43 ,66,397,2923,812,2004,17919
