date,trans0,trans1,trans2,comm0,comm1,comm2,zan0,zan1,zan2,r
2019-05-16,3830,0,1547,4384,0,1845,2217,0,5513,0.46053992552751344
2019-05-17,0,0,262,0,0,482,0,0,1525,1.0
2019-05-18,1650,0,147,743,0,320,1488,0,1471,0.3330469152775391
2019-05-19,0,0,0,0,0,0,0,0,0,0
2019-05-20,2362,0,3562,5042,0,7865,7308,0,17043,0.6593024871474226
2019-05-21,1956,0,20985,807,0,16942,8223,0,100508,0.9264761981247616
2019-05-22,0,0,10988,0,0,14895,0,0,68005,1.0
2019-05-23,0,0,59209,0,0,72063,0,0,34663,1.0
2019-05-24,0,0,124,0,0,129,0,0,919,1.0
2019-05-25,0,0,505,0,0,3417,0,0,2913,1.0
2019-05-26,0,0,3959,0,0,5666,0,0,37091,1.0
2019-05-27,2443,0,0,1009,0,0,3489,0,0,0.0
2019-05-28,0,0,0,0,0,0,0,0,0,0
2019-05-29,0,0,2860,0,0,4027,0,0,89814,1.0
2019-05-30,99,0,824,375,0,1213,42728,0,7908,0.1871225092667507
2019-05-31,0,0,142,0,0,284,0,0,939,1.0
2019-06-01,0,0,1792,0,0,1452,0,0,17733,1.0
2019-06-02,4863,0,2174,1926,0,1878,26237,0,22373,0.44448369245260805
2019-06-03,124,0,84,846,0,38,2975,0,384,0.11368231858009437
2019-06-04,957,80,2432,2185,441,1814,90162,1901,9592,0.126300609689314
2019-06-05,0,0,0,0,0,0,0,0,0,0
2019-06-06,20,0,1929,124,0,1845,204,0,948,0.9313609467455621
2019-06-07,176,0,4411,726,0,6730,2912,0,4003,0.7988184407637936
2019-06-08,116,0,120,690,0,589,1558,0,2067,0.5400778210116731
2019-06-09,12,0,494,469,0,616,1216,0,4726,0.7747245453338644
2019-06-10,0,0,2846,0,0,3277,0,0,34197,1.0
2019-06-11,0,0,630,0,0,661,0,0,15559,1.0
2019-06-12,0,0,1322,0,0,1101,0,0,5642,1.0
2019-06-13,41,0,0,111,0,0,946,0,0,0.0
2019-06-14,98,0,356,780,0,666,2871,0,2928,0.5130536433303027
2019-06-15,57,0,75,255,0,55,1720,0,927,0.3421819359015863
2019-06-16,280,0,278,1320,0,2964,7355,0,16774,0.6908977943460702
2019-06-17,111,0,9509,674,0,10877,1695,0,10709,0.9261355174981385
2019-06-18,0,0,363,0,0,681,0,0,9535,1.0
2019-06-19,0,0,693,0,0,577,0,0,12025,1.0
2019-06-20,426,0,7187,617,0,1483,7219,0,25885,0.8070392601069668
2019-06-21,0,0,9651,0,0,2324,0,0,65180,1.0
2019-06-22,352,0,1624,1675,0,1098,8063,0,8850,0.5342073677407442
2019-06-23,1741,0,1306,3017,0,2229,32805,0,25189,0.43332780183143
2019-06-24,197,0,208,345,0,1169,1421,0,2528,0.6654737559645535
2019-06-25,192,0,1773,61,0,4279,823,0,26496,0.9679990482988342
2019-06-26,0,0,208,0,0,619,0,0,2588,1.0
2019-06-27,17,0,298,110,0,876,549,0,5197,0.9040726550305095
2019-06-28,0,0,1858,0,0,3114,0,0,31895,1.0
2019-06-29,0,0,140,0,0,130,0,0,1779,1.0
2019-06-30,67,205,378,465,119,726,2710,3506,4719,0.4515703761147732
2019-07-01,0,0,880,0,0,187,0,0,1733,1.0
2019-07-02,348,0,1314,1662,0,1992,5414,0,13172,0.6893983767048782
2019-07-03,474,0,45,1330,0,71,7027,0,376,0.05277271264614394
2019-07-04,61,0,316,289,0,1381,833,0,4388,0.8372317006053935
2019-07-05,10,0,131,111,0,275,526,0,1993,0.7875902823374918
2019-07-06,276,0,663,1054,0,920,4805,0,4939,0.5152879829343446
2019-07-07,33,0,323,170,0,1085,10447,0,4432,0.3541540327471195
2019-07-08,147591,0,24,146046,0,44,120568,0,178,0.0005935562949540477
2019-07-09,2347,110,1443,2550,77,1245,31114,1172,8068,0.22349665461496904
2019-07-10,620,0,890,266,0,7899,6503,0,12288,0.7404271762804749
2019-07-11,329,112,890,381,57,2421,1733,358,9849,0.8158710477371358
2019-07-12,30,13,1722,22,15,2359,273,1024,7192,0.8911462450592885
2019-07-13,872,0,109,1735,0,361,15193,0,365,0.044808156694392275
2019-07-14,713,0,209,1014,0,302,12692,0,15015,0.5184838871263984
2019-07-15,103,0,2137,299,0,2510,2583,0,5227,0.7678668636752469
