date,trans0,trans2,comm0,comm2,zan0,zan2,r
2019-11-06,227,75,595,411,4639,782,0.18843810373012335
2019-11-07,2419,1608,886,1083,11055,9774,0.4646784715750233
2019-11-08,206,42,216,103,256,610,0.5268667131891137
2019-11-09,227,252,145,1057,718,6012,0.8704077993104268
2019-11-10,343,31,1279,90,4994,346,0.06593251447126923
2019-11-11,2626,0,2635,0,61838,0,0.0
2019-11-12,0,252,0,516,0,1277,1.0
2019-11-13,0,535,0,438,0,2028,1.0
2019-11-14,0,232,0,228,0,1338,1.0
2019-11-15,416,663,1730,920,8999,2234,0.2551129528137949
2019-11-16,213,250,24,298,1040,2200,0.6827329192546584
2019-11-17,179,191,572,470,1261,5258,0.7463119404866978
2019-11-18,509,1776,953,1000,4535,5525,0.5805707091900966
2019-11-19,74,5702,157,3215,1381,17898,0.9432933478735005
2019-11-20,0,214,0,201,0,899,1.0
2019-11-21,0,1596,0,1008,0,4615,1.0
2019-11-22,262,1296,13,1714,256,13783,0.9693488801662433
2019-11-23,2312,1154,2319,574,4903,2969,0.33005410723069356
2019-11-24,435,84,885,300,7104,48230,0.8523089869911287
2019-11-25,646,0,1287,0,7711,0,0.0
2019-11-26,356,576,449,5668,4662,68173,0.9315632667367684
2019-11-27,449,211,406,201,2473,1306,0.3404676971858898
2019-11-28,0,151,0,658,0,11029,1.0
2019-11-29,378,225,339,3359,2566,29871,0.9106374870706081
2019-11-30,686,1146,3191,2326,18822,24027,0.5478106697477987
2019-12-01,11919,293,34235,25,347340,289,0.0015402143105447588
2019-12-02,1879,450,3717,10227,19965,97705,0.8091650926140224
2019-12-03,3286,7071,11986,4616,58494,40570,0.4146624028947097
2019-12-04,768,145,2030,676,10494,4176,0.27322434250095684
2019-12-05,3062,2303,7944,16921,50850,191352,0.7729488459505491
2019-12-06,340,34973,695,2786,14268,29115,0.8137800114387237
2019-12-07,793,104,630,82,3636,494,0.11848754138351629
2019-12-08,223,92,1156,130,3216,640,0.15796225032068903
2019-12-09,0,119,0,123,0,520,1.0
2019-12-10,123,262,189,2689,1525,71681,0.9759771933724778
2019-12-11,1055,1120,3511,2398,18962,15304,0.4444391971664699
2019-12-12,115,47,303,89,10610,603,0.0628027534630747
2019-12-13,0,318,0,961,0,4687,1.0
2019-12-14,430,392,1851,1480,19381,7511,0.3022386857787083
2019-12-15,115,2814,533,6154,5812,38162,0.8794551222242956
2019-12-16,118,107,474,459,1465,4371,0.7058907635115813
2019-12-17,208,1889,983,2491,4018,13310,0.7725228175902877
2019-12-18,159,593,187,232,8699,778,0.15054470323065364
2019-12-19,148,665,307,1065,4574,6808,0.6293211469005675
2019-12-20,0,0,0,0,0,0,0
2019-12-21,0,637,0,554,0,2838,1.0
2019-12-22,22,44,93,270,357,2119,0.8375215146299484
2019-12-23,44,1660,251,416,11363,2453,0.27979242602088095
2019-12-24,24,0,104,0,287,0,0.0
2019-12-25,0,27,0,39,0,102,1.0
2019-12-26,158,549,380,453,1731,5246,0.733591640248914
2019-12-27,177,529,287,488,1696,2512,0.6203199156266479
2019-12-28,0,98,0,70,0,682,1.0
2019-12-29,1081,0,3401,0,17015,0,0.0
2019-12-30,36,1099,26,1861,3790,44421,0.9248140846719888
2019-12-31,61,550,365,21,2337,67,0.18759188473978242
