date,trans0,trans2,comm0,comm2,zan0,zan2,r
2019-08-05,440,7777,2699,4367,12853,27817,0.7141886940825336
2019-08-06,702,12229,2926,6048,22162,39863,0.6927201239127845
2019-08-07,1342,1498,2475,2480,19880,9343,0.35985196390944946
2019-08-08,259,5527,1124,10416,22878,118722,0.8473440469149164
2019-08-09,161,81961,545,58604,49389,1632650,0.9725252425533782
2019-08-10,590,5699,1230,8737,93018,123817,0.5931288638342965
2019-08-11,1374,7452,2117,7554,23298,52307,0.7153195468746679
2019-08-12,4071,2417,3160,4240,18145,36447,0.6294392523364486
2019-08-13,2911,2329,8426,9536,80664,63548,0.4504581456747942
2019-08-14,2546,21630,4080,22335,32456,964972,0.9627086913500614
2019-08-15,401,4113,445,3737,5605,130301,0.9553878922836475
2019-08-16,225,18369,906,12716,15887,60597,0.843440662373505
2019-08-17,5331,9905,6957,4243,79358,61373,0.4517697870991284
2019-08-18,1948,2414,3552,3165,53928,51616,0.49042641674455295
2019-08-19,1558,24198,2227,14791,36889,196966,0.8529655242219724
2019-08-20,3681,3108,4403,4234,56858,63848,0.5229483148708607
2019-08-21,5382,23649,3553,11303,66756,84929,0.6129762951751785
2019-08-22,1322,11134,1542,16274,21279,185064,0.8979650487078165
2019-08-23,12510,103044,3238,22466,82695,409722,0.8446474927999369
2019-08-24,537,10427,1743,6940,18962,29698,0.6890216229668994
2019-08-25,1097,12270,1505,4560,5691,76314,0.9182448219091653
2019-08-26,653,12427,1674,12740,52216,118313,0.7245622983188822
2019-08-27,329,4004,450,2499,9055,14616,0.682292507995994
2019-08-28,942,3203,1862,5877,74972,27957,0.3225854215115013
2019-08-29,251,2232,269,4644,15959,90941,0.855821726044656
2019-08-30,939,10023,948,11596,4155,122501,0.9597634554680945
2019-08-31,846,9335,3732,8904,19782,35976,0.689977728285078
2019-09-01,422,3469,2505,7258,11039,79313,0.8657192854258409
2019-09-02,1493,5935,5748,32126,56440,132793,0.7284797578186625
2019-09-03,280,7036,1190,5755,6636,70634,0.9114398400541893
2019-09-04,950,3486,2880,9480,20808,73022,0.7772856290564605
2019-09-05,635,18778,2533,8441,12324,53249,0.8385577323884952
2019-09-06,369,4956,328,13012,2094,113180,0.9791621559067933
2019-09-07,1171,2113,4225,5658,34474,24807,0.44967424911660775
2019-09-08,486,2500,1292,5224,11010,27131,0.7315870117330983
2019-09-09,359,5946,230,10251,1504,55584,0.971667975201018
2019-09-10,11685,18225,2250,11564,13296,41197,0.7227465713674822
2019-09-11,5248,17988,31682,36590,658918,1062556,0.616185930141612
2019-09-12,828,53619,2090,19978,15709,136702,0.9186330954107441
2019-09-13,998,2439,3033,5451,17166,59911,0.7618261084518754
2019-09-14,1426,1959,3874,6655,17986,17310,0.5268034952245478
2019-09-15,1273,7648,5482,6839,21976,25004,0.5788601917270089
2019-09-16,2107,13017,3309,19269,35708,273777,0.8815508645196969
2019-09-17,1361,1470,4991,6821,25087,36161,0.5857348038634357
2019-09-18,1027,3224,3629,9100,22350,177272,0.8753197108059944
2019-09-19,1222,36373,2629,76149,96017,1724117,0.9484287947319581
2019-09-20,2369,19570,5912,20452,81580,525111,0.862806376852307
2019-09-21,879,3114,4114,5748,23640,23552,0.5309679427326486
2019-09-22,1445,3589,7407,7784,74477,65245,0.479021175764472
2019-09-23,776,9997,493,15036,2138,200841,0.9851405044465089
2019-09-24,7669,7830,7857,16481,169126,211701,0.5610463457771523
2019-09-25,616,2116,3557,5181,35116,26743,0.46420924872833397
2019-09-26,2741,34024,26626,65175,666114,416984,0.42601166660064177
2019-09-27,1856,6671,9315,17888,118206,133115,0.5492891507084107
2019-09-28,781,10329,3720,9647,33119,40087,0.6148766929762599
2019-09-29,5336,9444,2705,12354,12638,115390,0.869009989421475
2019-09-30,730,12534,1436,10004,4146,31908,0.8961124460976332
2019-09-31,1326,405039,3640,122937,25433,1103334,0.9817061832125842
2019-10-01,567,6801,3960,3130,24872,40944,0.6337668485437377
2019-10-02,1624,639,6722,2945,28589,19979,0.38948394988264073
2019-10-03,691,3633,7227,5078,27469,29803,0.5211566825888689
2019-10-04,817,2017,9255,5181,390486,15035,0.052586266027422536
2019-10-05,2560,8599,7369,9687,137481,123024,0.489436131892491
2019-10-06,566,676,2687,3066,14090,12446,0.4827771316095553
2019-10-07,2276,1568,7235,3170,74444,22353,0.2439619617095618
2019-10-08,288,84188,724,32898,3965,250418,0.9866382446352968
2019-10-09,856,3852,3798,6393,23209,20695,0.5261636311072564
2019-10-10,815,1928,2760,3232,14580,27261,0.6410352736475798
2019-10-11,1420,8144,5449,7827,41574,32737,0.5013638562649896
2019-10-12,1259,3783,3830,6608,22315,95281,0.7940725600408789
2019-10-13,797,2928,3587,8150,20658,123587,0.8432003606604594
2019-10-14,314,2508,741,4253,4818,21278,0.8268164661476763
2019-10-15,518,2681,434,3402,5970,34236,0.8534747359285366
2019-10-16,440,2360,1761,6225,68963,88863,0.5779422579650322
2019-10-17,802,4629,3429,4631,18475,20381,0.5662406632662808
2019-10-18,1411,14360,2895,10804,12054,56537,0.8331650707212858
2019-10-19,705,16828,1359,11649,10211,180705,0.9445716324162253
2019-10-20,1056,5261,1746,2858,13288,14021,0.5791263405702328
2019-10-21,503,5087,2445,6692,16053,29409,0.6843110867434249
2019-10-22,965,9603,1974,4637,11391,25647,0.7356917571979269
2019-10-23,2123,5413,5669,8724,85338,83214,0.5110798452339078
2019-10-24,248,5756,1909,4892,6366,15467,0.7539407587043132
2019-10-25,510,5754,2522,3820,44655,91596,0.6796455658786621
2019-10-26,946,20233,2099,7975,19407,27432,0.7124929570250473
2019-10-27,215,5337,736,5376,3846,28193,0.8902363682127085
2019-10-28,18944,8520,5774,13560,15621,138273,0.7990004584138879
2019-10-29,2461,9051,1795,10517,9622,51531,0.8366852207067795
2019-10-30,120,4919,994,7688,12238,44459,0.8103893890766566
2019-10-31,2213,8039,2136,21399,16274,37438,0.7643058777814603
2019-11-01,4000,36566,10727,35827,124407,285863,0.72027181889463
2019-11-02,2825,2982,4685,6812,28964,18512,0.43695585057116393
2019-11-03,1234,10453,3049,9036,14447,79628,0.8410651098458171
2019-11-04,608,16242,3679,8388,14823,26527,0.7280373432763602
2019-11-05,1284,5861,2255,7641,10627,76743,0.8643246401241248
2019-11-06,534,6017,1475,16181,8786,47247,0.8654661016949152
2019-11-07,2980,4400,1619,6450,13710,33289,0.7068120676402767
2019-11-08,681,9939,1691,11998,5453,66635,0.9188252746454765
2019-11-09,456,10355,2313,19685,10392,585079,0.9790523333545553
2019-11-10,672,26655,2787,16483,8622,97544,0.9209167141258027
2019-11-11,3283,24480,3531,35414,70455,239266,0.7947315430001408
2019-11-12,482,10528,2018,9431,12122,42387,0.8100249454318678
2019-11-13,1384,5279,4788,3032,19510,15373,0.4797633999108698
2019-11-14,237,3680,2053,4128,8911,20645,0.7175316487617894
2019-11-15,539,2764,2334,4367,10085,23753,0.7044386661192464
2019-11-16,3365,4047,4124,5121,38678,16610,0.35830148029744946
2019-11-17,428,3272,1814,3503,10167,24399,0.7152788931464102
2019-11-18,1574,29635,4083,20423,32127,61307,0.7466694379446057
2019-11-19,74,22971,157,12893,1381,82875,0.9866058445712956
2019-11-20,247,41621,2620,17039,6910,45429,0.9141359141446964
2019-11-21,403,11271,3178,14915,13890,41410,0.7946207107338921
2019-11-22,2786,26906,2576,8299,91350,33310,0.414671936184764
2019-11-23,2725,11236,5458,7040,9041,24344,0.7121850143706971
2019-11-24,780,8067,1358,6750,9064,116008,0.9211276729072642
2019-11-25,3871,20737,3788,16861,27189,74833,0.7633878557024423
2019-11-26,1774,14469,1245,21387,7806,136900,0.9410342028859195
2019-11-27,11506,16130,5622,15236,19548,32862,0.6365258067073655
2019-11-28,9548,68638,6004,44889,48129,82479,0.7547778672016697
2019-11-29,3429,34607,5153,10340,29010,62683,0.7411411494126234
2019-11-30,2686,31857,6101,9196,37232,61828,0.6909402283411685
2019-12-01,25325,2332,45416,2167,584334,12330,0.025046732866599992
2019-12-02,44390,6494,99641,20247,1089909,234291,0.17460661470582728
2019-12-03,34840,58738,63819,24703,561526,198644,0.29936748490347775
2019-12-04,11108,85039,36729,19287,328554,101810,0.35386514273158154
2019-12-05,6840,143664,28194,49023,191691,474883,0.7464762746073723
2019-12-06,5105,60464,4718,6480,63051,81794,0.6711640163890042
2019-12-07,5133,87692,10495,11165,68341,91789,0.6942301039637311
2019-12-08,21842,21672,3787,14732,12866,59029,0.7125694402962786
2019-12-09,1530,3855,3819,7556,65126,90316,0.5907422678017676
2019-12-10,1774,100348,3562,22949,22928,201492,0.9199440310661572
2019-12-11,1663,11741,4681,17973,23922,196521,0.8820043586574711
2019-12-12,1510,53415,1336,701625,79707,1778343,0.9684422707589176
2019-12-13,949,8716,1477,13217,14254,38572,0.7838958346829047
2019-12-14,570,3505,2453,9185,25162,39525,0.6494402985074627
2019-12-15,1604,7188,2436,13038,17550,86319,0.831505833691029
2019-12-16,364,10671,1607,8052,11265,78433,0.880100007246902
2019-12-17,353,8243,1384,8350,16312,40055,0.7583704834196822
2019-12-18,905,8238,1914,3937,19721,19467,0.5839946845815953
2019-12-19,693,10295,3152,10627,64157,96636,0.633530933390817
2019-12-20,11649,5201,5460,9564,18451,42099,0.6152514498398685
